materia,actividad,fecha_entrega
APRENDIZAJE AUTOMATICO,Tarea: Herramientas de Análisis de Datos en Python,22/01/2026
CONTROL DE ROBOTS,Proyecto: Instalación de Sistema Operativo en Raspberry Pi,30/01/2026
CONTROL DE ROBOTS,Practica: Topics Tutorial,30/01/2026
Artificial Vison,Practica 6 Deteccion de Plantillas,02/02/2026
MoBot,Mejoras en robot móvil,25/01/2026
